treatment	stain	dosed_dpi	harvest_dpi	animal	mean_ihc_score
ASO 7	GFAP	30	150	2	1.1666666666666667
ASO 7	GFAP	30	150	3	1.25
ASO 7	GFAP	30	150	4	1.0833333333333333
ASO 7	GFAP	60	150	1	0.8181818181818182
ASO 7	GFAP	60	150	2	1.0833333333333333
ASO 7	GFAP	60	150	3	0.75
ASO 7	GFAP	60	150	4	0.9166666666666666
ASO 7	GFAP	90	98	1	1.0833333333333333
ASO 7	GFAP	90	98	2	1
ASO 7	GFAP	90	98	3	1.1666666666666667
ASO 7	GFAP	90	98	4	1.4166666666666667
ASO 7	GFAP	123	131	1	1.0833333333333333
ASO 7	GFAP	123	131	2	1.1666666666666667
ASO 7	GFAP	123	131	3	1.0833333333333333
ASO 7	GFAP	123	131	4	1.1666666666666667
ASO 7	Iba1	-14	150	1	0.25
ASO 7	Iba1	-14	150	2	0.4444444444444444
ASO 7	Iba1	-14	150	3	0.6363636363636364
ASO 7	Iba1	-14	150	4	0.5
ASO 7	Iba1	30	150	1	0.4166666666666667
ASO 7	Iba1	30	150	2	0.4166666666666667
ASO 7	Iba1	30	150	3	0.75
ASO 7	Iba1	30	150	4	0.5833333333333334
ASO 7	Iba1	60	150	1	0.5833333333333334
ASO 7	Iba1	60	150	2	0.5833333333333334
ASO 7	Iba1	60	150	3	0.5
ASO 7	Iba1	60	150	4	0.5833333333333334
ASO 7	Iba1	90	98	1	1.0833333333333333
ASO 7	Iba1	90	98	2	1
ASO 7	Iba1	90	98	3	1.0909090909090908
ASO 7	Iba1	90	98	4	0.6666666666666666
ASO 7	Iba1	123	131	1	0.9166666666666666
ASO 7	Iba1	123	131	2	0.8333333333333334
ASO 7	Iba1	123	131	3	0.6666666666666666
ASO 7	Iba1	123	131	4	0.5
ASO 7	PrP	-14	150	1	0.16666666666666666
ASO 7	PrP	-14	150	2	0.2222222222222222
ASO 7	PrP	-14	150	3	0.5833333333333334
ASO 7	PrP	-14	150	4	0.3333333333333333
ASO 7	PrP	30	150	1	0.25
ASO 7	PrP	30	150	2	0.5
ASO 7	PrP	30	150	3	0.5
ASO 7	PrP	30	150	4	0.25
ASO 7	PrP	60	150	1	0.16666666666666666
ASO 7	PrP	60	150	2	0.25
ASO 7	PrP	60	150	3	0.25
ASO 7	PrP	60	150	4	0.5833333333333334
ASO 7	PrP	90	98	1	0.25
ASO 7	PrP	90	98	2	
ASO 7	PrP	90	98	3	0.4166666666666667
ASO 7	PrP	90	98	4	0.5
ASO 7	PrP	123	131	1	0.5833333333333334
ASO 7	PrP	123	131	2	0.9166666666666666
ASO 7	PrP	123	131	3	0.9166666666666666
ASO 7	PrP	123	131	4	0.8333333333333334
ASO 8	ASO	-14	150	1	0.5384615384615384
ASO 8	ASO	-14	150	2	0.23076923076923078
ASO 8	ASO	-14	150	3	0.23076923076923078
ASO 8	ASO	-14	150	4	0.46153846153846156
ASO 8	ASO	30	150	1	0.23076923076923078
ASO 8	ASO	30	150	2	0.3076923076923077
ASO 8	ASO	30	150	3	0.38461538461538464
ASO 8	ASO	30	150	4	0.38461538461538464
