gene	log2fold_change	base_mean	pvalue	padj	celltype
Lrfn3	0.15637063243030935	25.384617973878655	0.26494349989095584	0.665268058460503	0_none
Lrrc23	0.23692573389809227	10.401694384051469	0.26481878405024256	0.665268058460503	0_none
Mbd2	0.1308639116526596	34.32964360619126	0.2648621336847617	0.665268058460503	0_none
N4bp2os	0.3430842815376223	4.7948913215100815	0.2647976649877484	0.665268058460503	0_none
Stom	0.17745983673244978	14.25895572703496	0.26491161949167774	0.665268058460503	0_none
Tes	0.35665421259465246	5.273663460922363	0.2649484701709898	0.665268058460503	0_none
Tsr3	0.1420355026367078	20.645392306368738	0.2645080531877319	0.6651339981983067	0_none
Klhdc2	-0.05749999695875518	182.9105591889955	0.26420107147959365	0.6648344540386094	0_none
Rps6ka5	-0.13475697087689678	31.01554979497432	0.2642624836744528	0.6648344540386094	0_none
Sdf2l1	0.17828029502666595	23.272051220320424	0.2642842070509573	0.6648344540386094	0_none
Slco5a1	-0.25495800619666814	10.967928843713326	0.264349722170813	0.6648344540386094	0_none
Tle6	0.25823771677155877	6.801053925121712	0.2643248058722652	0.6648344540386094	0_none
Tmem127	-0.05748297189588625	156.48624311226376	0.26403435045188	0.6645341318483119	0_none
Dcaf12l1	-0.11807326445460926	47.28959327449657	0.26399030607302537	0.6645219165341774	0_none
Cstf2t	-0.080466468213486	84.38645441349432	0.26393095495291563	0.6644711614226634	0_none
Abce1	0.07320718977620232	95.4650772459209	0.26363475810447845	0.664439243330137	0_none
Amd1	-0.15730624738992152	549.354845447972	0.2638282239759567	0.664439243330137	0_none
Cobl	-0.09993511515655126	82.00539519563588	0.2638613764637198	0.664439243330137	0_none
Ercc6l2	0.23054238642540728	9.393030616130574	0.2636834963644397	0.664439243330137	0_none
Gm15892	0.49388966686932945	3.3166250814175906	0.26387909085781686	0.664439243330137	0_none
Gm33489	-0.5338783723505289	1.668777298271122	0.26378815853123166	0.664439243330137	0_none
Gpr45	0.22910682666242335	9.609179086912253	0.26376213774775903	0.664439243330137	0_none
Lefty2	0.5811207257602783	1.2857743260913934	0.26384734027744583	0.664439243330137	0_none
Mup17	-0.3828602760483741	9.669901005397929	0.2636031129838787	0.664439243330137	0_none
Supv3l1	0.12910202685262945	29.290936937686048	0.2638348687121831	0.664439243330137	0_none
Tubgcp6	-0.1486193678356078	18.72250976528843	0.263588633335396	0.664439243330137	0_none
Ccr10	0.619805428394574	1.4249188900425316	0.2633058425787971	0.6640926954744865	0_none
Echdc3	-0.3686512364043096	3.204618863955484	0.26310140708308055	0.6640926954744865	0_none
Mrpl16	-0.08862657383319907	58.15661840510656	0.2632559513512685	0.6640926954744865	0_none
Ntsr1	-0.2500130870833485	8.354315430631692	0.26330832668707316	0.6640926954744865	0_none
Pafah1b2	0.05472726216574387	269.0509271635501	0.26317415356859913	0.6640926954744865	0_none
Zer1	-0.0944746993906049	98.1913499194817	0.26331063881074385	0.6640926954744865	0_none
Limch1	-0.09363687629318716	67.55750524476734	0.2632703840182856	0.6640926954744865	1_oligodendrocyte
2810021J22Rik	0.35437565738628635	4.075732590965421	0.2630179502998577	0.6640459150214989	0_none
Gm20383	0.6226799587060489	1.2926942837258164	0.26296471192845067	0.6640459150214989	0_none
Spef1	-0.4084013658782914	2.9961899703699744	0.26300152971464813	0.6640459150214989	0_none
Dgat2	0.1003516863397096	69.9926387157379	0.2627614434007087	0.6637512656654704	0_none
Gimap9	0.4819493156351438	1.888383645912298	0.2627838078799423	0.6637512656654704	0_none
Mrpl15	-0.10709331734988384	48.98026219405995	0.26273243044086836	0.6637512656654704	0_none
Denr	0.10023627218761078	149.72812721872828	0.26257644511712586	0.6637129663710274	0_none
Gm47772	0.5903952852900699	1.4344917325989672	0.2626512151656991	0.6637129663710274	0_none
Hapln1	-0.29059743730179277	4.535450859588975	0.2625998720409416	0.6637129663710274	0_none
Smarca2	0.05968544642796286	165.44920287827446	0.26262424400571044	0.6637129663710274	0_none
Zfp85	-0.4472187523089766	2.161426418376579	0.26263573002352014	0.6637129663710274	0_none
Ago3	-0.10486674546977744	57.86690162864745	0.26236309788221907	0.6634792971947661	0_none
Ppp1r26	-0.13045899192408064	31.542412553689704	0.26231045661245594	0.66347356623495	0_none
