FeatureID,FeatureName,astrocyte Average,astrocyte Log2 Fold Change,astrocyte P-Value
ENSMUSG00000017009,Sdc4,2.060810197538086,6.462444963149761,1.5887261633318326e-249
ENSMUSG00000050288,Fzd2,1.24466041942587,6.456063462234332,3.1606194457343245e-247
ENSMUSG00000028517,Plpp3,13.75518173761299,6.3989599385988605,7.794821515603893e-246
ENSMUSG00000000202,Btbd17,2.0581510876057787,6.4192482176549674,3.901003946618715e-245
ENSMUSG00000014361,Mertk,9.526507546373193,6.376432892792412,4.512145114675764e-243
ENSMUSG00000040055,Gjb6,2.2719632232738878,6.370749747680023,9.889635320726081e-241
ENSMUSG00000045092,S1pr1,4.87365607815387,6.329067997954991,1.1252935381686279e-237
ENSMUSG00000007682,Dio2,1.300206271345176,6.333592451045057,5.551300807817633e-234
ENSMUSG00000034853,Acot11,1.065318227324706,6.290508632157987,9.451596833477715e-230
ENSMUSG00000026424,Gpr37l1,5.381447589671497,6.243033088664163,3.2583359155198504e-229
ENSMUSG00000030605,Mfge8,3.31078883682857,6.251913618099132,3.33009983671913e-229
ENSMUSG00000043496,Tril,1.0931896388374076,6.272134801069585,1.6563676307414155e-228
ENSMUSG00000028128,F3,5.8137991675540395,6.233760673089378,2.029118993369264e-228
ENSMUSG00000051262,Nat8f3,1.1928570185224037,6.259458500251012,4.1126917684631236e-226
ENSMUSG00000010064,Slc38a3,1.0731970715685792,6.239638629219906,2.0697525151787556e-225
ENSMUSG00000048148,Nwd1,3.090772111318411,6.199422496061159,3.076864833303021e-224
ENSMUSG00000097157,Gm26512,2.4590857740658763,6.175750154477832,4.795778771345204e-221
ENSMUSG00000030235,Slco1c1,4.125067389432866,6.156160017809485,1.5629791931217194e-219
ENSMUSG00000035805,Mlc1,1.4063736975313674,6.130410830881273,4.500746167069063e-215
ENSMUSG00000048960,Prex2,13.457065968535439,6.088955162492973,1.1900444884024425e-214
ENSMUSG00000020591,Ntsr2,5.093771289217077,6.068308572303963,3.331712198024032e-212
ENSMUSG00000015224,Cyp2j9,1.1677432024950578,6.097208726286555,4.209588475097837e-212
ENSMUSG00000021379,Id4,2.5117755449467785,6.036303747749254,1.3955498666234084e-207
ENSMUSG00000061740,Cyp2d22,1.2244708810509448,6.02331468378981,3.0959180421834274e-205
ENSMUSG00000110080,Gm6145,5.238742023304344,5.994066475164454,4.419291970238297e-205
ENSMUSG00000024827,Gldc,1.2240769388387511,5.981465313096939,5.084590200964327e-201
ENSMUSG00000004328,Hif3a,1.8471950329760733,5.971222835424015,5.4280722009856845e-201
ENSMUSG00000023913,Pla2g7,6.30593147613697,5.947076861940834,1.0088154809984692e-200
ENSMUSG00000021750,Fam107a,2.1926823530699138,5.909320405508987,6.99997512200671e-196
ENSMUSG00000019437,Tlcd1,1.2286072742789782,5.92560270272986,7.697328698932424e-196
ENSMUSG00000042613,Pbxip1,1.0726061582502888,5.922982026499167,2.7773884562936325e-195
ENSMUSG00000001700,Gramd3,1.7003530733808865,5.900258347952165,5.6426742559480086e-195
ENSMUSG00000052397,Ezr,1.4122828307142723,5.90038340629116,7.439912936371234e-194
ENSMUSG00000022112,Gpc5,58.344220423623774,5.855524527344484,8.607853005391189e-193
ENSMUSG00000047216,Cdh19,4.291803430743832,5.823967437051743,2.789178393835448e-189
ENSMUSG00000093497,Gm20713,10.031344491299368,5.771742703781385,1.4715193750453527e-184
ENSMUSG00000036885,Arhgef26,2.624836959846359,5.7751182541222885,2.6380260978276273e-184
ENSMUSG00000022899,Slc15a2,1.3927826912106862,5.771903495262574,8.507962242991782e-183
ENSMUSG00000006205,Htra1,7.568023838452409,5.699189005859888,1.0858737330080061e-178
ENSMUSG00000020961,Ston2,1.1125912927879453,5.716149031858503,2.4613908166329606e-177
ENSMUSG00000039835,Nhsl1,3.263318800259234,5.661843070514214,2.0515612556933713e-174
ENSMUSG00000022469,Rapgef3,1.6062008846666018,5.633617700356785,2.933278964664259e-171
ENSMUSG00000007097,Atp1a2,14.95384940376525,5.502080702920343,9.86318066496318e-162
ENSMUSG00000032702,Kank1,2.0312645316235614,5.494182444903432,1.041001643449122e-159
ENSMUSG00000040624,Plekhg1,3.703647707938698,5.477197185972786,3.4486386652828484e-159
ENSMUSG00000047361,Gm973,1.417207108366693,5.448178364018787,3.404608248648547e-155
ENSMUSG00000046240,Hepacam,4.187310258959465,5.365157354976869,1.663449158889098e-150
ENSMUSG00000002985,Apoe,54.63426964028998,5.343269755707509,7.7663645630681965e-149
ENSMUSG00000052188,Gm14964,1.6976939634485793,5.357107486599202,1.2323925252544948e-147
ENSMUSG00000024985,Tcf7l2,2.033726670449772,5.304041568072446,1.9341904065375552e-144
ENSMUSG00000026173,Plcd4,1.50377590949625,5.2994884103792215,1.1366850595871738e-143
ENSMUSG00000007872,Id3,3.100325209964107,5.298985649208311,6.00108357744036e-143
ENSMUSG00000050103,Agmo,1.9748323097268194,5.25761299747829,1.2916299187784368e-140
ENSMUSG00000004892,Bcan,5.0470891370721285,5.234095165965509,3.595309767009377e-140
ENSMUSG00000022122,Ednrb,1.3134033354536636,5.249141345507954,1.767742840351105e-139
